Servizio Amazon ,Presenza 
Shop by categories,1
Shop by brand,0
Shop by price,1
Shop by recipient,1
Shop by alphabetically,1
Shop by occasions,1
Products on sales,1
Top sellers,1
Product description/guide,1
Users' reviews,1
Professional reviews,0
Products compare,1
Personalized products,1
Products recommendation,1
Product pictures,1
Special offers,1
Indicator of path,0
Label of current position,0
Link to new items in HP,1
Recently viewed products,1
Google checkout accepted,1
Mandatory registration,0
Search engine,1
Shopping guide**,1
Currency convertor,1
Num of items,1
Total sum,1
E-mail a friend link,1
Gift certificates,1
Credit cards,1
Fidelity card,1
Bank transfers,1
Checks,0
Cash,1
PayPal,1
BillMeLater,1
Coupons,1
